175	24.17	97.67	135	156	157
176	24.19	157.17	4		
177	28.2	113.95	97	98	116
178	28.2	141.86	31	32	47
179	28.2	155.81	4	5	17
180	32.22	106.97	116	117	136
181	32.23	83.72	180	202	203
182	32.23	125.58	63	79	80
183	32.23	153.48	5	17	18
184	36.25	90.7	159	180	181
185	36.25	118.6	80	98	99
186	36.25	132.56	48	63	64
187	40.28	83.72	181	203	204
188	40.28	153.49	6	18	19
189	40.28	125.58	63	64	80
190	44.31	141.86	33	34	49
191	44.31	90.7	160	181	182
192	44.31	132.56	49	64	65
193	44.31	100	137	138	160
194	48.34	139.53	34	49	50
195	48.34	153.48	7	19	20
196	52.36	113.95	100	101	119
197	52.37	146.51	20	34	35
198	52.37	100	138	139	161
199	56.39	106.97	119	120	139
200	56.42	125.59	66	82	83
201	60.42	146.51	21	35	36
202	60.42	113.95	101	102	120
203	60.42	155.81	8	9	21
204	64.45	134.88	51	52	67
205	64.45	125.58	67	84	85
206	72.5	134.88	52	53	68
207	72.51	153.49	10	22	23
208	76.54	146.51	23	37	38
209	84.59	155.81	11	12	24
210	-40.28	60.47	265		
211	-32.22	88.37	172		
212	-32.22	46.52	310		
213	-28.2	67.45	243		
214	-20.14	109.31	110		
215	-16.11	88.37	174		
216	-12.12	81.42	197		
217	-12.09	67.45	245		
218	-8.1	32.59	351		
219	-8.06	88.37	175		
220	-4.03	25.59	369		
221	-4.03	39.54	333		
222	-4.03	137.21	43		
223	0	88.38	176		
224	0	32.56	352		
225	4.03	39.54	334		
226	4.03	67.45	247		
227	4.03	-2.32	433		
228	4.03	25.58	370		
229	8.05	4.66	420		
230	8.05	88.38	177		
231	8.05	158.13	2		
232	8.06	32.56	353		
233	12.08	39.54	335		
234	16.11	4.66	421		
235	20.14	137.21	46		
236	24.17	88.38	179		
237	28.19	67.45	250		
238	28.19	151.17	17		
239	28.2	137.21	47		
240	32.22	130.24	63		
241	32.22	32.56	356		
242	32.23	88.38	180		
243	36.22	81.43	203		
244	40.28	88.37	181		
245	40.32	60.5	276		
246	44.31	67.45	252		
247	44.31	137.21	49		
248	44.31	25.58	375		
249	48.33	74.42	229		
250	48.33	4.66	425		
251	48.33	88.38	182		
252	48.34	60.47	277		
253	52.36	25.59	376		
254	52.36	67.45	253		
255	52.36	151.17	20		
256	52.4	81.43	205		
257	56.35	60.5	278		
258	56.38	74.42	230		
259	56.39	4.66	426		
260	60.38	81.43	206		
261	60.42	25.59	377		
262	60.42	151.17	21		
263	60.42	109.3	120		
264	64.45	4.66	427		
265	64.45	18.61	396		
266	64.45	88.38	184		
267	64.45	130.24	67		
268	68.48	151.16	22		
269	72.46	18.64	397		
270	72.5	144.19	38		
271	76.53	25.59	379		
272	76.53	137.21	53		
273	76.53	109.3	122		
274	76.53	-2.32	442		
275	80.56	102.33	142		
276	80.56	116.28	104		
277	80.56	158.13	11		
278	80.56	88.37	186		
279	80.56	18.61	398		
280	84.59	-2.32	443		
281	84.59	109.31	123		
282	84.59	151.17	24		
283	88.62	88.37	187		
284	88.62	4.66	430		
285	88.62	144.19	40		
286	92.64	53.49	305		
287	96.67	60.47	283		
288	100.69	67.44	259		
289	100.69	11.64	417		
290	100.7	53.49	306		
291	104.73	60.47	284		
292	104.73	116.28	107		
293	108.75	25.59	384		
294	112.78	32.56	366		
295	112.78	60.47	285		
296	116.81	53.49	308		
297	120.84	88.38	191		
298	124.87	81.4	215		
299	132.92	67.44	263		
300	132.92	81.39	216		
301	-38.31	96.52	148		
302	102.73	138.38	56		
303	-37.44	96.02	148		
304	101.87	137.88	56		
305	-23.67	60.46	268		
306	0.5	18.6	388		
307	16.6	144.05	30		
308	27.95	94.91	157		
309	36.75	53.49	298		
310	60.42	11.13	412		
311	64.2	143.75	36		
312	68.23	81.83	207		
313	92.39	26.01	381		
314	-20.49	95.7	150		
315	93.08	123.5	88		
316	116.56	67.87	261		
317	-16.15	18.58	385		
318	124.92	53.44	309		
319	-15.29	19.08	385		
320	68.47	-3.67	441		
321	124.06	53.94	309		
322	4.03	86.04	176	177	199
323	68.47	-4.67	441		
324	4.03	86.04	176	177	199
325	4.03	86.04	176	177	199
326	10.21	36.39	335	353	
327	15.84	108.13	114	115	134
328	26.19	126.06	62	63	79
329	31.36	36.39	333	332	356
330	85.73	85.7	186	187	210
331	96.08	67.77	258	259	
