154.8	281.16
158.86	290.48
170.94	290.48
189.07	286.99
201.15	293.47
207.2	290.48
225.32	286.99
231.36	298.55
238.78	298.55
255.53	290.48
267.57	290.48
279.6	290.48
291.63	290.48
315.75	290.48
303.72	276.53
291.68	276.53
279.55	276.53
267.484	269.55
261.57	273.54
249.49	280.01
249.49	259.08
243.45	269.55
231.36	276.53
219.28	269.55
207.2	269.55
189.07	266.06
170.94	269.55
176.99	259.08
183.03	255.6
201.15	245.13
213.24	245.13
225.32	259.08
231.36	248.62
243.35	248.62
249.28	258.491
279.5	248.62
279.5	255.6
297.43	259.08
291.48	248.62
295.226	239.017
279.45	234.67
261.37	238.15
255.28	234.67
231.11	234.67
225.12	231.68
189.02	238.15
195.01	227.69
213.09	224.2
225.12	224.2
243.25	227.69
249.29	224.2
255.175	219.36
273.41	224.2
146.051	295.182
144.56	295.25
186.876	224.007
186.07	223.1
328.443	294.625
329.506	294.625
287.4	223.907
288.163	222.999
