0	0
0	20.93
0	41.86
0	62.79
0	83.72
0	97.67
0	118.6
0	139.53
6.04	52.33
6.04	24.42
6.04	150
12.08	104.65
12.08	125.58
12.08	34.88
18.13	136.05
18.13	3.49
18.13	66.28
18.13	87.21
24.17	20.93
24.17	104.65
24.17	55.81
30.21	66.28
30.21	150
36.25	0
36.25	20.93
36.25	41.86
36.25	83.72
36.25	104.65
36.25	125.58
36.25	55.81
36.25	97.67
36.25	139.53
48.33	97.67
48.33	125.58
48.34	41.86
48.34	62.79
48.34	83.72
48.34	13.95
54.38	31.4
54.38	66.28
54.38	108.14
60.42	97.67
66.46	45.35
72.5	83.72
72.5	55.81
78.54	66.28
12.08	153.63
18.13	-7.13
51.48	134.39
6.05	37.87
18.13	101.67
59.92	48.84
54.52	17.39
12.08	154.63
18.13	-8.13
52.34	134.89
