0	0
12.09	0
24.17	0
36.25	0
48.34	0
66.48	-7.17
72.51	0
84.59	0
84.59	13.96
78.55	24.42
60.42	13.95
54.38	24.42
48.34	20.93
36.26	20.93
30.21	24.42
12.09	20.93
-12.08	13.95
-18.12	24.42
-11.59	27.97
6.04	31.4
24.17	41.86
36.25	41.86
48.34	41.86
54.87	38.35
72.51	41.86
84.59	41.86
84.59	55.82
66.46	52.33
78.55	66.28
60.42	62.79
48.34	62.79
36.26	55.82
30.21	66.28
12.09	55.81
6.04	66.28
0	55.82
-12.08	41.86
-30.21	45.35
-36.43	48.74
-42.29	66.28
-24.17	62.79
-12.08	62.79
6.55	80.24
12.09	83.72
36.25	83.72
48.34	83.72
72.5	83.72
84.59	83.72
84.59	104.65
84.59	125.58
78.55	115.12
66.95	101.21
60.41	97.67
60.41	104.8
48.34	104.65
36.25	97.67
36.25	104.65
24.17	104.65
18.13	94.19
6.03	94.19
-6.04	94.19
-12.08	83.72
-36.25	83.72
-39.44	92.54
-24.17	97.68
-18.12	108.14
-0.01	118.54
12.12	118.62
36.25	125.58
48.32	118.62
66.47	129.07
84.64	146.53
66.46	150
60.43	153.68
48.34	146.51
48.34	139.54
36.22	146.53
30.71	143.03
18.13	136.05
6.04	129.07
-12.08	125.58
0	146.51
18.11	149.93
